District,Total_corona_cases_March,Total_corona_death_March,Total_corona_recoveries_March,Total_corona_cases_April,Total_corona_death_April,Total_corona_recoveries_April,Total_corona_cases_June,Total_corona_death_June,Total_corona_recoveries_june,Latitude_1,Longitud_1,TotalPopul,Population_Density,Area
Faisalabad,9.000000,0.000000,0.000000,68.000000,0.000000,0.000000,123.000000,10.000000,30.000000,31.415500,73.090800,7873910.000000,1316.842898,5979.38449109000
FR Bannu,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.560000,70.220000,43114.000000,52.508133,821.09184336500
FR Dera Ismail Khan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.300000,69.550000,68556.000000,41.246363,1662.11019949000
FR Kohat,13.000000,0.000000,0.000000,46.000000,3.000000,31.000000,55.000000,7.000000,13.000000,33.586000,71.442000,118578.000000,253.264412,468.19842939600
FR Lakki Marwat,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.641200,70.359900,26359.000000,144.129619,182.88399163600
FR Peshawar,0.000000,0.000000,0.000000,26.000000,0.000000,0.000000,44.000000,0.000000,0.000000,33.807800,71.735600,64691.000000,249.101694,259.69714972500
FR Tank,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,32.434000,70.288500,36389.000000,31.778043,1145.09882883000
Ghotki,23.000000,0.000000,2.000000,137.000000,0.000000,2.000000,176.000000,1.000000,126.000000,28.004370,69.315690,505998.000000,79.637348,6353.77766233000
Gujranwala,19.000000,0.000000,0.000000,66.000000,0.000000,1.000000,127.000000,14.000000,31.000000,32.154700,74.180400,5014196.000000,1377.073038,3641.19829567000
Gujrat,50.000000,0.000000,0.000000,101.000000,0.000000,4.000000,150.000000,10.000000,23.000000,32.572000,74.089000,2756110.000000,863.483668,3191.84960098000
Gwadar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.126389,62.322498,263514.000000,22.810571,11552.27530740000
Hafizabad,5.000000,0.000000,0.000000,42.000000,0.000000,1.000000,72.000000,0.000000,19.000000,32.067000,73.685000,1156957.000000,506.949302,2282.19467866000
Hangu,1.000000,1.000000,0.000000,18.000000,0.000000,11.000000,4.000000,0.000000,4.000000,33.528000,71.058000,518798.000000,375.885989,1380.20041980000
Haripur,1.000000,0.000000,0.000000,9.000000,0.000000,6.000000,73.000000,3.000000,26.000000,33.999000,72.934000,1003031.000000,520.660025,1926.46055484000
Harnai,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.104400,67.937500,97017.000000,31.802271,3050.63120774000
Hyderabad,117.000000,0.000000,1.000000,164.000000,3.000000,160.000000,209.000000,8.000000,200.000000,25.376300,68.343200,2199463.000000,2154.643183,1020.80150315000
